┌──(soros🏹WorkStation)-[~/homeworks/IDD - homework1]
└─$  /usr/bin/env /usr/lib/jvm/java-11-openjdk-amd64/bin/java -agentlib:jdwp=transport=dt_socket,server=n,suspend=y,address=localhost:39505 -Dfile.encoding=UTF-8 @/tmp/cp_6oob5xvcspsj6vhkveyycfbci.argfile utility.Stats 

===== Distribuzione valori distinti =====
145 colonne hanno 126 valori distinti.
1 colonne hanno 2174 valori distinti.
153 colonne hanno 127 valori distinti.
197 colonne hanno 128 valori distinti.
155 colonne hanno 129 valori distinti.
132 colonne hanno 130 valori distinti.
121 colonne hanno 131 valori distinti.
120 colonne hanno 132 valori distinti.
120 colonne hanno 133 valori distinti.
119 colonne hanno 134 valori distinti.
107 colonne hanno 135 valori distinti.
90 colonne hanno 136 valori distinti.
67 colonne hanno 137 valori distinti.
97 colonne hanno 138 valori distinti.
87 colonne hanno 139 valori distinti.
102 colonne hanno 140 valori distinti.
110 colonne hanno 141 valori distinti.
94 colonne hanno 142 valori distinti.
108 colonne hanno 143 valori distinti.
90 colonne hanno 144 valori distinti.
92 colonne hanno 145 valori distinti.
98 colonne hanno 146 valori distinti.
89 colonne hanno 147 valori distinti.
93 colonne hanno 148 valori distinti.
75 colonne hanno 149 valori distinti.
131 colonne hanno 150 valori distinti.
105 colonne hanno 151 valori distinti.
84 colonne hanno 152 valori distinti.
61 colonne hanno 153 valori distinti.
76 colonne hanno 154 valori distinti.
88 colonne hanno 155 valori distinti.
79 colonne hanno 156 valori distinti.
75 colonne hanno 157 valori distinti.
65 colonne hanno 158 valori distinti.
67 colonne hanno 159 valori distinti.
73 colonne hanno 160 valori distinti.
62 colonne hanno 161 valori distinti.
56 colonne hanno 162 valori distinti.
64 colonne hanno 163 valori distinti.
77 colonne hanno 164 valori distinti.
62 colonne hanno 165 valori distinti.
61 colonne hanno 166 valori distinti.
53 colonne hanno 167 valori distinti.
62 colonne hanno 168 valori distinti.
53 colonne hanno 169 valori distinti.
40 colonne hanno 170 valori distinti.
54 colonne hanno 171 valori distinti.
55 colonne hanno 172 valori distinti.
49 colonne hanno 173 valori distinti.
52 colonne hanno 174 valori distinti.
49 colonne hanno 175 valori distinti.
53 colonne hanno 176 valori distinti.
47 colonne hanno 177 valori distinti.
46 colonne hanno 178 valori distinti.
1 colonne hanno 2226 valori distinti.
50 colonne hanno 179 valori distinti.
50 colonne hanno 180 valori distinti.
39 colonne hanno 181 valori distinti.
1 colonne hanno 2229 valori distinti.
51 colonne hanno 182 valori distinti.
54 colonne hanno 183 valori distinti.
45 colonne hanno 184 valori distinti.
47 colonne hanno 185 valori distinti.
39 colonne hanno 186 valori distinti.
47 colonne hanno 187 valori distinti.
53 colonne hanno 188 valori distinti.
46 colonne hanno 189 valori distinti.
45 colonne hanno 190 valori distinti.
45 colonne hanno 191 valori distinti.
33 colonne hanno 192 valori distinti.
95 colonne hanno 193 valori distinti.
42 colonne hanno 194 valori distinti.
58 colonne hanno 195 valori distinti.
44 colonne hanno 196 valori distinti.
31 colonne hanno 197 valori distinti.
47 colonne hanno 198 valori distinti.
48 colonne hanno 199 valori distinti.
50 colonne hanno 200 valori distinti.
39 colonne hanno 201 valori distinti.
44 colonne hanno 202 valori distinti.
41 colonne hanno 203 valori distinti.
35 colonne hanno 204 valori distinti.
42 colonne hanno 205 valori distinti.
34 colonne hanno 206 valori distinti.
39 colonne hanno 207 valori distinti.
32 colonne hanno 208 valori distinti.
39 colonne hanno 209 valori distinti.
41 colonne hanno 210 valori distinti.
43 colonne hanno 211 valori distinti.
37 colonne hanno 212 valori distinti.
30 colonne hanno 213 valori distinti.
41 colonne hanno 214 valori distinti.
21 colonne hanno 215 valori distinti.
36 colonne hanno 216 valori distinti.
33 colonne hanno 217 valori distinti.
21 colonne hanno 218 valori distinti.
34 colonne hanno 219 valori distinti.
24 colonne hanno 220 valori distinti.
